CVE ID,Description,CVSS Score,Attack Vector,Affected OS
CVE-2023-43511,Transient DOS while parsing IPv6 extension header when WLAN firmware receives an IPv6 packet that contains `IPPROTO_NONE` as the next header.,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"Qualcomm Snapdragon 8Cx Gen 3 Compute Platform Firmware, Qualcomm Ipq6010 Firmware, Qualcomm Wcn3999 Firmware, Qualcomm Snapdragon 636 Mobile Platform Firmware, Qualcomm Qcs8250 Firmware, Qualcomm Qcn5052 Firmware, Qualcomm Ipq8074A Firmware, Qualcomm Qcm6490 Firmware, Qualcomm Qca6574A Firmware, Qualcomm Qca1990 Firmware, Qualcomm Qca9367 Firmware, Qualcomm Snapdragon 765 5G Mobile Platform Firmware, Qualcomm Qca4024 Firmware, Qualcomm Qcs2290 Firmware, Qualcomm Wcd9360 Firmware, Qualcomm Qam8775P Firmware, Qualcomm Ipq9574 Firmware, Qualcomm Snapdragon 780G 5G Mobile Platform Firmware, Qualcomm Qca6420 Firmware, Qualcomm Qca6574 Firmware, Qualcomm Qca9379 Firmware, Qualcomm Aqt1000 Firmware, Qualcomm Qca8084 Firmware, Qualcomm Qsm8350 Firmware, Qualcomm Wcd9380 Firmware, Qualcomm Snapdragon 865\+ 5G Mobile Platform Firmware, Qualcomm Qca6436 Firmware, Qualcomm Qca6174 Firmware, Qualcomm Qcn5152 Firmware, Qualcomm Csr8811 Firmware, Qualcomm Qcn6100 Firmware, Qualcomm Qcs410 Firmware, Qualcomm Wsa8815 Firmware, Qualcomm Sd888 Firmware, Qualcomm Ar8031 Firmware, Qualcomm Sc8180X\+Sdx55 Firmware, Qualcomm Qcm2290 Firmware, Qualcomm Qca6696 Firmware, Qualcomm Ipq8076 Firmware, Qualcomm Snapdragon 695 5G Mobile Platform Firmware, Qualcomm Qca9985 Firmware, Qualcomm Qualcomm Video Collaboration Vc5 Platform Firmware, Qualcomm Wcn3980 Firmware, Qualcomm Ipq8069 Firmware, Qualcomm Qam8650P Firmware, Qualcomm Qcn5021 Firmware, Qualcomm Sd 8Cx Firmware, Qualcomm Qcc2076 Firmware, Qualcomm Snapdragon Ar2 Gen 1 Platform Firmware, Qualcomm Ipq5010 Firmware, Qualcomm Qca8075 Firmware, Qualcomm Wcn3990 Firmware, Qualcomm Qcn6024 Firmware, Qualcomm Qcn9013 Firmware, Qualcomm Qca9986 Firmware, Qualcomm Sw5100P Firmware, Qualcomm Qfw7124 Firmware, Qualcomm Ipq9570 Firmware, Qualcomm Qcn9003 Firmware, Qualcomm 315 5G Iot Modem Firmware, Qualcomm Snapdragon 1200 Wearable Platform Firmware, Qualcomm Qcn6102 Firmware, Qualcomm Sd460 Firmware, Qualcomm Snapdragon 765G 5G Mobile Platform Firmware, Qualcomm Sdx55 Firmware, Qualcomm Ipq8071A Firmware, Qualcomm Qcn5022 Firmware, Qualcomm Snapdragon 870 5G Mobile Platform Firmware, Qualcomm Qca6431 Firmware, Qualcomm Qcn9001 Firmware, Qualcomm Qcm4325 Firmware, Qualcomm Snapdragon 690 5G Mobile Platform Firmware, Qualcomm Snapdragon 750G 5G Mobile Platform Firmware, Qualcomm Mdm9628 Firmware, Qualcomm Sm7325P Firmware, Qualcomm Snapdragon X20 Lte Modem Firmware, Qualcomm Vision Intelligence 300 Platform Firmware, Qualcomm Sa8155P Firmware, Qualcomm Sd662 Firmware, Qualcomm Sa4150P Firmware, Qualcomm Immersive Home 318 Platform Firmware, Qualcomm Qca6564Au Firmware, Qualcomm Fastconnect 7800 Firmware, Qualcomm Snapdragon X65 5G Modem-Rf System Firmware, Qualcomm Qcn9011 Firmware, Qualcomm Snapdragon 678 Mobile Platform Firmware, Qualcomm Snapdragon 732G Mobile Platform Firmware, Qualcomm Wcn6740 Firmware, Qualcomm Qcn9070 Firmware, Qualcomm Ar9380 Firmware, Qualcomm Sd821 Firmware, Qualcomm Mdm9640 Firmware, Qualcomm Qcn7605 Firmware, Qualcomm Wcd9390 Firmware, Qualcomm Qrb5165N Firmware, Qualcomm Snapdragon 630 Mobile Platform Firmware, Qualcomm Sa6150P Firmware, Qualcomm Qca6320 Firmware, Qualcomm Qca9886 Firmware, Qualcomm Ipq9554 Firmware, Qualcomm Smart Audio 200 Platform Firmware, Qualcomm Wcd9330 Firmware, Qualcomm Ipq8174 Firmware, Qualcomm Qcs610 Firmware, Qualcomm Qca6574Au Firmware, Qualcomm Qca1064 Firmware, Qualcomm Sd 8 Gen1 5G Firmware, Qualcomm Snapdragon 820 Automotive Platform Firmware, Qualcomm Qca2065 Firmware, Qualcomm Qcn9002 Firmware, Qualcomm Snapdragon 768G 5G Mobile Platform Firmware, Qualcomm Qca2064 Firmware, Qualcomm Qca8386 Firmware, Qualcomm Ipq8078 Firmware, Qualcomm Snapdragon 662 Mobile Platform Firmware, Qualcomm Wcd9385 Firmware, Qualcomm Snapdragon 855 Mobile Platform Firmware, Qualcomm Snapdragon 680 4G Mobile Platform Firmware, Qualcomm Qca9980 Firmware, Qualcomm Sxr1230P Firmware, Qualcomm Sa8155 Firmware, Qualcomm Snapdragon 8\+ Gen 2 Mobile Platform Firmware, Qualcomm Ar8035 Firmware, Qualcomm Csrb31024 Firmware, Qualcomm Qcn6274 Firmware, Qualcomm Ipq5332 Firmware, Qualcomm Snapdragon 845 Mobile Platform Firmware, Qualcomm Snapdragon 720G Mobile Platform Firmware, Qualcomm Sxr2130 Firmware, Qualcomm Qcs4290 Firmware, Qualcomm Snapdragon 821 Mobile Platform Firmware, Qualcomm Snapdragon 850 Mobile Compute Platform Firmware, Qualcomm Ipq4029 Firmware, Qualcomm Apq8017 Firmware, Qualcomm Snapdragon 675 Mobile Platform Firmware, Qualcomm Sm6250P Firmware, Qualcomm Sd855 Firmware, Qualcomm Snapdragon Xr2 5G Platform Firmware, Qualcomm Qca6391 Firmware, Qualcomm Wsa8835 Firmware, Qualcomm Qca6310 Firmware, Qualcomm Qcn5164 Firmware, Qualcomm Immersive Home 216 Platform Firmware, Qualcomm Qcm4490 Firmware, Qualcomm Ipq8173 Firmware, Qualcomm Snapdragon 8 Gen 2 Mobile Platform Firmware, Qualcomm Qca6428 Firmware, Qualcomm Snapdragon 8 Gen 1 Mobile Platform Firmware, Qualcomm Wcn3910 Firmware, Qualcomm Sg8275P Firmware, Qualcomm Qca6335 Firmware, Qualcomm Wsa8840 Firmware, Qualcomm Qcn5024 Firmware, Qualcomm Immersive Home 326 Platform Firmware, Qualcomm Sa8255P Firmware, Qualcomm Qca2066 Firmware, Qualcomm Qca9990 Firmware, Qualcomm Snapdragon X55 5G Modem-Rf System Firmware, Qualcomm Fastconnect 6200 Firmware, Qualcomm Wsa8845 Firmware, Qualcomm Qca9377 Firmware, Qualcomm Qcn9072 Firmware, Qualcomm Snapdragon 710 Mobile Platform Firmware, Qualcomm Qam8255P Firmware, Qualcomm Snapdragon 778G 5G Mobile Platform Firmware, Qualcomm Sg4150P Firmware, Qualcomm Wcd9341 Firmware, Qualcomm Qrb5165M Firmware, Qualcomm Qca4531 Firmware, Qualcomm Fastconnect 6900 Firmware, Qualcomm Ipq8064 Firmware, Qualcomm Vision Intelligence 400 Platform Firmware, Qualcomm Qca9994 Firmware, Qualcomm Snapdragon 778G\+ 5G Mobile Platform Firmware, Qualcomm Snapdragon Auto 5G Modem-Rf Firmware, Qualcomm Qcn9000 Firmware, Qualcomm Apq8094 Firmware, Qualcomm Qcn6132 Firmware, Qualcomm Qcn7606 Firmware, Qualcomm Msm8996Au Firmware, Qualcomm Qca6174A Firmware, Qualcomm Wcd9375 Firmware, Qualcomm Qualcomm Video Collaboration Vc3 Platform Firmware, Qualcomm Qcn9074 Firmware, Qualcomm Qcs8550 Firmware, Qualcomm Snapdragon 888 5G Mobile Platform Firmware, Qualcomm Qsm8250 Firmware, Qualcomm Qca6797Aq Firmware, Qualcomm Snapdragon 855\+\/860 Mobile Platform Firmware, Qualcomm Wsa8832 Firmware, Qualcomm Qam8295P Firmware, Qualcomm Qcn9274 Firmware, Qualcomm Snapdragon X24 Lte Modem Firmware, Qualcomm Wcd9370 Firmware, Qualcomm Wsa8845H Firmware, Qualcomm Sd670 Firmware, Qualcomm Wcn3610 Firmware, Qualcomm Ipq4018 Firmware, Qualcomm Qcs4490 Firmware, Qualcomm Qca9898 Firmware, Qualcomm Sm7250P Firmware, Qualcomm Mdm9650 Firmware, Qualcomm Mdm9250 Firmware, Qualcomm Sd730 Firmware, Qualcomm Qcn6122 Firmware, Qualcomm Qcn5124 Firmware, Qualcomm Snapdragon 665 Mobile Platform Firmware, Qualcomm Sm4125 Firmware, Qualcomm Qca6175A Firmware, Qualcomm Robotics Rb3 Platform Firmware, Qualcomm Sd820 Firmware, Qualcomm Snapdragon 460 Mobile Platform Firmware, Qualcomm Ipq8070 Firmware, Qualcomm Ipq8072A Firmware, Qualcomm Ipq8065 Firmware, Qualcomm Pmp8074 Firmware, Qualcomm Smart Audio 400 Platform Firmware, Qualcomm Qcn6023 Firmware, Qualcomm Snapdragon 8Cx Compute Platform Firmware, Qualcomm Sa8295P Firmware, Qualcomm Snapdragon 808 Processor Firmware, Qualcomm Qca6564A Firmware, Qualcomm Wcn3950 Firmware, Qualcomm Sa6145P Firmware, Qualcomm Immersive Home 316 Platform Firmware, Qualcomm Wcd9335 Firmware, Qualcomm Wsa8810 Firmware, Qualcomm Sd660 Firmware, Qualcomm Sd 675 Firmware, Qualcomm Sdx65M Firmware, Qualcomm Qfw7114 Firmware, Qualcomm Qca2062 Firmware, Qualcomm Sa8145P Firmware, Qualcomm Snapdragon 820 Mobile Platform Firmware, Qualcomm Ipq8070A Firmware, Qualcomm Fastconnect 6700 Firmware, Qualcomm Snapdragon 7C\+ Gen 3 Compute Firmware, Qualcomm Snapdragon 835 Mobile Pc Platform Firmware, Qualcomm Snapdragon 8\+ Gen 1 Mobile Platform Firmware, Qualcomm Flight Rb5 5G Platform Firmware, Qualcomm Sd 455 Firmware, Qualcomm Qca6421 Firmware, Qualcomm Sa6155 Firmware, Qualcomm Ipq6028 Firmware, Qualcomm Qcc710 Firmware, Qualcomm Qcn9100 Firmware, Qualcomm Sm7315 Firmware, Qualcomm Qca9992 Firmware, Qualcomm Sm6250 Firmware, Qualcomm Qcn6224 Firmware, Qualcomm Fastconnect 6800 Firmware, Qualcomm Qcn6112 Firmware, Qualcomm Qca8085 Firmware, Qualcomm Sxr2230P Firmware, Qualcomm Apq8064Au Firmware, Qualcomm Snapdragon 685 4G Mobile Platform Firmware, Qualcomm Wcd9395 Firmware, Qualcomm Qca9889 Firmware, Qualcomm Qca6584 Firmware, Qualcomm Csra6640 Firmware, Qualcomm Qcn9022 Firmware, Qualcomm Snapdragon X75 5G Modem-Rf System Firmware, Qualcomm Qca6595 Firmware, Qualcomm Sa8150P Firmware, Qualcomm Ipq8076A Firmware, Qualcomm Qca6426 Firmware, Qualcomm Snapdragon 7C Compute Platform Firmware, Qualcomm Wcd9340 Firmware, Qualcomm Qca6584Au Firmware, Qualcomm Qca6595Au Firmware, Qualcomm Qcm8550 Firmware, Qualcomm Wcn3988 Firmware, Qualcomm Sd865 5G Firmware, Qualcomm Qcs6125 Firmware, Qualcomm Qca6438 Firmware, Qualcomm Snapdragon 4 Gen 2 Mobile Platform Firmware, Qualcomm Ipq9008 Firmware, Qualcomm Wcn3615 Firmware, Qualcomm Snapdragon 865 5G Mobile Platform Firmware, Qualcomm Snapdragon X5 Lte Modem Firmware, Qualcomm Wcn3660B Firmware, Qualcomm Qcm6125 Firmware, Qualcomm Qca9888 Firmware, Qualcomm Snapdragon 4 Gen 1 Mobile Platform Firmware, Qualcomm Qca0000 Firmware, Qualcomm Apq8092 Firmware, Qualcomm Snapdragon 7C Gen 2 Compute Platform Firmware, Qualcomm Qca1023 Firmware, Qualcomm Snapdragon Xr2\+ Gen 1 Platform Firmware, Qualcomm Sdx20M Firmware, Qualcomm Snapdragon 8Cx Gen 2 5G Compute Platform Firmware, Qualcomm Qcn9024 Firmware, Qualcomm Immersive Home 214 Platform Firmware, Qualcomm Qcn5122 Firmware, Qualcomm Snapdragon 782G Mobile Platform Firmware, Qualcomm Sm8550P Firmware, Qualcomm Snapdragon W5\+ Gen 1 Wearable Platform Firmware, Qualcomm Qca6698Aq Firmware, Qualcomm Robotics Rb5 Platform Firmware, Qualcomm Snapdragon Auto 4G Modem Firmware, Qualcomm Sd835 Firmware, Qualcomm Qcn9012 Firmware, Qualcomm Qualcomm Video Collaboration Vc1 Platform Firmware, Qualcomm Sa8195P Firmware, Qualcomm Qca6564 Firmware, Qualcomm Qca6678Aq Firmware, Qualcomm Ipq6018 Firmware, Qualcomm Qcm4290 Firmware, Qualcomm Snapdragon 730 Mobile Platform Firmware, Qualcomm Qcn5154 Firmware, Qualcomm Ipq8074 Firmware, Qualcomm Qca1062 Firmware, Qualcomm Snapdragon Xr1 Platform Firmware, Qualcomm Csra6620 Firmware, Qualcomm Qca8081 Firmware, Qualcomm Mdm9645 Firmware, Qualcomm Qca6554A Firmware, Qualcomm Ssg2115P Firmware, Qualcomm Qca8082 Firmware, Qualcomm Qca9984 Firmware, Qualcomm Ipq8068 Firmware, Qualcomm Qcf8001 Firmware, Qualcomm Qca8072 Firmware, Qualcomm Ipq4028 Firmware, Qualcomm Snapdragon 660 Mobile Platform Firmware, Qualcomm Qcc2073 Firmware, Qualcomm Snapdragon 8C Compute Platform Firmware, Qualcomm Ipq6000 Firmware, Qualcomm Ipq8078A Firmware, Qualcomm Snapdragon 480\+ 5G Mobile Platform Firmware, Qualcomm Snapdragon 480 5G Mobile Platform Firmware, Qualcomm Qcs7230 Firmware, Qualcomm Snapdragon X12 Lte Modem Firmware, Qualcomm Ssg2125P Firmware, Qualcomm Qcn5054 Firmware, Qualcomm Wcd9371 Firmware, Qualcomm Sa4155P Firmware, Qualcomm Qca6430 Firmware, Qualcomm Home Hub 100 Platform Firmware, Qualcomm Sd675 Firmware, Qualcomm Snapdragon 712 Mobile Platform Firmware, Qualcomm 9206 Lte Modem Firmware, Qualcomm Qca8337 Firmware, Qualcomm Immersive Home 3210 Platform Firmware, Qualcomm Sa6155P Firmware, Qualcomm Snapdragon 730G Mobile Platform Firmware, Qualcomm Snapdragon X50 5G Modem-Rf System Firmware, Qualcomm Wsa8830 Firmware, Qualcomm Snapdragon 888\+ 5G Mobile Platform Firmware, Qualcomm Ipq5028 Firmware, Qualcomm Snapdragon 670 Mobile Platform Firmware, Qualcomm Wcd9326 Firmware, Qualcomm Sxr1120 Firmware, Qualcomm Qcs6490 Firmware, Qualcomm Sw5100 Firmware, Qualcomm Snapdragon 810 Processor Firmware"
CVE-2023-43512,Transient DOS while parsing GATT service data when the total amount of memory that is required by the multiple services is greater than the actual size of the services buffer.,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,Qualcomm Qcn7606 Firmware
CVE-2023-43514,Memory corruption while invoking IOCTLs calls from user space for internal mem MAP and internal mem UNMAP.,8.4,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"Qualcomm Wcn3988 Firmware, Qualcomm Wcd9375 Firmware, Qualcomm Wcd9390 Firmware, Qualcomm Qrb5165N Firmware, Qualcomm Qualcomm Video Collaboration Vc3 Platform Firmware, Qualcomm Qcs8550 Firmware, Qualcomm Qca6797Aq Firmware, Qualcomm Qam8295P Firmware, Qualcomm Qcs8250 Firmware, Qualcomm Wcd9370 Firmware, Qualcomm Wsa8845H Firmware, Qualcomm Qdx1011 Firmware, Qualcomm Qcm6490 Firmware, Qualcomm Qca6574A Firmware, Qualcomm Qca6574Au Firmware, Qualcomm Qdu1110 Firmware, Qualcomm Qam8775P Firmware, Qualcomm Snapdragon 4 Gen 1 Mobile Platform Firmware, Qualcomm Qca6574 Firmware, Qualcomm Wcd9385 Firmware, Qualcomm Snapdragon 680 4G Mobile Platform Firmware, Qualcomm Wcd9380 Firmware, Qualcomm Sm8550P Firmware, Qualcomm Snapdragon W5\+ Gen 1 Wearable Platform Firmware, Qualcomm Snapdragon 8\+ Gen 2 Mobile Platform Firmware, Qualcomm Sa8295P Firmware, Qualcomm Qca6698Aq Firmware, Qualcomm Ar8035 Firmware, Qualcomm Qcn6274 Firmware, Qualcomm Robotics Rb5 Platform Firmware, Qualcomm Wcn3950 Firmware, Qualcomm Sa8195P Firmware, Qualcomm Wsa8810 Firmware, Qualcomm Qfw7114 Firmware, Qualcomm Wsa8815 Firmware, Qualcomm Qru1052 Firmware, Qualcomm Fastconnect 6700 Firmware, Qualcomm Qdu1210 Firmware, Qualcomm Qca6696 Firmware, Qualcomm Qca6391 Firmware, Qualcomm Qca8081 Firmware, Qualcomm Snapdragon 695 5G Mobile Platform Firmware, Qualcomm Wsa8835 Firmware, Qualcomm Qualcomm Video Collaboration Vc5 Platform Firmware, Qualcomm Wcn3980 Firmware, Qualcomm Qam8650P Firmware, Qualcomm Flight Rb5 5G Platform Firmware, Qualcomm Snapdragon 8 Gen 2 Mobile Platform Firmware, Qualcomm Sg8275P Firmware, Qualcomm Qdu1000 Firmware, Qualcomm Qru1062 Firmware, Qualcomm Wsa8840 Firmware, Qualcomm Snapdragon 480\+ 5G Mobile Platform Firmware, Qualcomm Qcc710 Firmware, Qualcomm Snapdragon 480 5G Mobile Platform Firmware, Qualcomm Qru1032 Firmware, Qualcomm Qcs7230 Firmware, Qualcomm Sw5100P Firmware, Qualcomm Qfw7124 Firmware, Qualcomm Sa8255P Firmware, Qualcomm Qdx1010 Firmware, Qualcomm Qcn6224 Firmware, Qualcomm Fastconnect 6200 Firmware, Qualcomm Wsa8845 Firmware, Qualcomm Qca8337 Firmware, Qualcomm Qam8255P Firmware, Qualcomm Snapdragon 685 4G Mobile Platform Firmware, Qualcomm Qdu1010 Firmware, Qualcomm Qcm4325 Firmware, Qualcomm Sa6155P Firmware, Qualcomm Wcd9395 Firmware, Qualcomm Sg4150P Firmware, Qualcomm Wsa8830 Firmware, Qualcomm Sa8155P Firmware, Qualcomm Snapdragon X75 5G Modem-Rf System Firmware, Qualcomm Qca6595 Firmware, Qualcomm Fastconnect 6900 Firmware, Qualcomm Fastconnect 7800 Firmware, Qualcomm Wcd9340 Firmware, Qualcomm Qca6595Au Firmware, Qualcomm Qcm8550 Firmware, Qualcomm Qcs6490 Firmware, Qualcomm Sw5100 Firmware"
CVE-2023-47039,"A vulnerability was found in Perl. This security issue occurs while Perl for Windows relies on the system path environment variable to find the shell (`cmd.exe`). When running an executable that uses the Windows Perl interpreter, Perl attempts to find and execute `cmd.exe` within the operating system. However, due to path search order issues, Perl initially looks for cmd.exe in the current working directory. This flaw allows an attacker with limited privileges to place`cmd.exe` in locations with weak permissions, such as `C:\ProgramData`. By doing so, arbitrary code can be executed when an administrator attempts to use this executable from these compromised locations.",7.8,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,Microsoft Windows
CVE-2023-47216,"
in OpenHarmony v3.2.2 and prior versions allow a local attacker cause DOS through occupy all resources

",2.9,CVSS:3.1/AV:L/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:L,Openatom Openharmony
CVE-2023-47857,"
in OpenHarmony v3.2.2 and prior versions allow a local attacker cause multimedia camera crash through modify a released pointer.",4.0,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,Openatom Openharmony
CVE-2023-48360,"
in OpenHarmony v3.2.2 and prior versions allow a local attacker cause multimedia player crash through modify a released pointer.",4.0,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,Openatom Openharmony
CVE-2023-49135,"
in OpenHarmony v3.2.2 and prior versions allow a local attacker cause multimedia player crash through modify a released pointer.",4.0,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,Openatom Openharmony
CVE-2023-49142,"
in OpenHarmony v3.2.2 and prior versions allow a local attacker cause multimedia audio crash through modify a released pointer.",4.0,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,Openatom Openharmony
CVE-2023-47858,"Mattermost fails to properly verify the permissions needed for viewing archived public channels,  allowing a member of one team to get details about the archived public channels of another team via the GET /api/v4/teams/<team-id>/channels/deleted endpoint.

",4.3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,N/A
CVE-2023-48732,"Mattermost fails to scope the WebSocket response around notified users to a each user separately resulting in the WebSocket broadcasting the information about who was notified about a post to everyone else in the channel.

",4.3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,N/A
CVE-2023-50333,"Mattermost fails to update the permissions of the current session for a user who was just demoted to guest, allowing freshly demoted guests to change group names.

",3.7,CVSS:3.1/AV:N/AC:H/PR:L/UI:R/S:U/C:N/I:L/A:L,N/A
CVE-2023-6693,"A stack based buffer overflow was found in the virtio-net device of QEMU. This issue occurs when flushing TX in the virtio_net_flush_tx function if guest features VIRTIO_NET_F_HASH_REPORT, VIRTIO_F_VERSION_1 and VIRTIO_NET_F_MRG_RXBUF are enabled. This could allow a malicious user to overwrite local variables allocated on the stack. Specifically, the `out_sg` variable could be used to read a part of process memory and send it to the wire, causing an information leak.",4.9,CVSS:3.1/AV:L/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:L,"Fedoraproject Fedora 39, Redhat Enterprise Linux 9.0, Redhat Enterprise Linux 8.0"
CVE-2023-6436,"Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection') vulnerability in Ekol Informatics Website Template allows SQL Injection.This issue affects Website Template: through 20231215.

",9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,N/A
CVE-2015-10128,A vulnerability was found in rt-prettyphoto Plugin up to 1.2 on WordPress and classified as problematic. Affected by this issue is the function royal_prettyphoto_plugin_links of the file rt-prettyphoto.php. The manipulation leads to cross site scripting. The attack may be launched remotely. Upgrading to version 1.3 is able to address this issue. The patch is identified as 0d3d38cfa487481b66869e4212df1cefc281ecb7. It is recommended to upgrade the affected component. VDB-249422 is the identifier assigned to this vulnerability.,3.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:N/I:L/A:N,N/A
CVE-2017-20188,A vulnerability has been found in Zimbra zm-ajax up to 8.8.1 and classified as problematic. Affected by this vulnerability is the function XFormItem.prototype.setError of the file WebRoot/js/ajax/dwt/xforms/XFormItem.js. The manipulation of the argument message leads to cross site scripting. The attack can be launched remotely. The complexity of an attack is rather high. The exploitation appears to be difficult. Upgrading to version 8.8.2 is able to address this issue. The identifier of the patch is 8d039d6efe80780adc40c6f670c06d21de272105. It is recommended to upgrade the affected component. The identifier VDB-249421 was assigned to this vulnerability.,2.6,CVSS:3.1/AV:N/AC:H/PR:L/UI:R/S:U/C:N/I:L/A:N,N/A
CVE-2024-0188,"A vulnerability, which was classified as problematic, was found in RRJ Nueva Ecija Engineer Online Portal 1.0. This affects an unknown part of the file change_password_teacher.php. The manipulation leads to weak password requirements. It is possible to initiate the attack remotely. The complexity of an attack is rather high. The exploitability is told to be difficult. The exploit has been disclosed to the public and may be used. The identifier VDB-249501 was assigned to this vulnerability.",3.1,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:N,N/A
CVE-2018-25097,"A vulnerability, which was classified as problematic, was found in Acumos Design Studio up to 2.0.7. Affected is an unknown function. The manipulation leads to cross site scripting. It is possible to launch the attack remotely. Upgrading to version 2.0.8 is able to address this issue. The name of the patch is 0df8a5e8722188744973168648e4c74c69ce67fd. It is recommended to upgrade the affected component. The identifier of this vulnerability is VDB-249420.",3.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:N/I:L/A:N,N/A
CVE-2023-4280,An unvalidated input in Silicon Labs TrustZone implementation in v4.3.x and earlier of the Gecko SDK allows an attacker to access the trusted region of memory from the untrusted region.,9.3,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,N/A
CVE-2024-0189,A vulnerability has been found in RRJ Nueva Ecija Engineer Online Portal 1.0 and classified as problematic. This vulnerability affects unknown code of the file teacher_message.php of the component Create Message Handler. The manipulation of the argument Content with the input </title><scRipt>alert(x)</scRipt> leads to cross site scripting. The attack can be initiated remotely. The exploit has been disclosed to the public and may be used. VDB-249502 is the identifier assigned to this vulnerability.,3.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:N/I:L/A:N,N/A
CVE-2024-0193,"A use-after-free flaw was found in the netfilter subsystem of the Linux kernel. If the catchall element is garbage-collected when the pipapo set is removed, the element can be deactivated twice. This can cause a use-after-free issue on an NFT_CHAIN object or NFT_OBJECT object, allowing a local unprivileged user with CAP_NET_ADMIN capability to escalate their privileges on the system.",7.8,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"Redhat Enterprise Linux 9.0, Linux Linux Kernel"
CVE-2022-3010,"The Priva TopControl Suite contains predictable credentials for the SSH service, based on the Serial number. Which makes it possible for an attacker to calculate the login credentials for the Priva TopControll suite.",7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,N/A
CVE-2023-48419,"An attacker in the wifi vicinity of a target Google Home can spy on the victim, resulting in Elevation of Privilege 
",10.0,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,"Google Home Mini Firmware, Google Nest Mini Firmware, Google Nest Audio Firmware, Google Home Firmware"
CVE-2023-7192,A memory leak problem was found in ctnetlink_create_conntrack in net/netfilter/nf_conntrack_netlink.c in the Linux Kernel. This issue may allow a local attacker with CAP_NET_ADMIN privileges to cause a denial of service (DoS) attack due to a refcount overflow.,5.5,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,"Redhat Enterprise Linux 9.0, Redhat Enterprise Linux 8.0, Linux Linux Kernel"
CVE-2024-0190,A vulnerability was found in RRJ Nueva Ecija Engineer Online Portal 1.0 and classified as problematic. This issue affects some unknown processing of the file add_quiz.php of the component Quiz Handler. The manipulation of the argument Quiz Title/Quiz Description with the input </title><scRipt>alert(x)</scRipt> leads to cross site scripting. The attack may be initiated remotely. The exploit has been disclosed to the public and may be used. The associated identifier of this vulnerability is VDB-249503.,3.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:N/I:L/A:N,N/A
CVE-2023-49794,"KernelSU is a Kernel-based root solution for Android devices. In versions 0.7.1 and prior, the logic of get apk path in KernelSU kernel module can be bypassed, which causes any malicious apk named `me.weishu.kernelsu` get root permission. If a KernelSU module installed device try to install any not checked apk which package name equal to the official KernelSU Manager, it can take over root privileges on the device. As of time of publication, a patched version is not available.",6.7,CVSS:3.1/AV:L/AC:H/PR:L/UI:R/S:U/C:H/I:H/A:H,N/A
CVE-2023-50711,"vmm-sys-util is a collection of modules that provides helpers and utilities used by multiple rust-vmm components. Starting in version 0.5.0 and prior to version 0.12.0, an issue in the `FamStructWrapper::deserialize` implementation provided by the crate for `vmm_sys_util::fam::FamStructWrapper` can lead to out of bounds memory accesses. The deserialization does not check that the length stored in the header matches the flexible array length. Mismatch in the lengths might allow out of bounds memory access through Rust-safe methods. The issue was corrected in version 0.12.0 by inserting a check that verifies the lengths of compared flexible arrays are equal for any deserialized header and aborting deserialization otherwise. Moreover, the API was changed so that header length can only be modified through Rust-unsafe code. This ensures that users cannot trigger out-of-bounds memory access from Rust-safe code.",5.7,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:C/C:N/I:L/A:L,N/A
